line_no,case,order_tag,modules,kept_metric_count,over10_count,over20_count,worst_metric,worst_rel_pct,worst_combo_mpki,worst_combo_count,worst_sum_count
150,combo_023_s3,shuffle_mixslot0_mix_s8192_l14_pstr17_p128_np4_sp17_r100_mixslot2_mix_s4096_l14_rand_p524288_np1_r100_itlb_f128_lin_p128_np1_l1_r100,mix_b128_ld14_pstr_p128_np4_sp17_r100+mix_b64_ld14_rand_p524288_np1_r100+itlb_f128_l1_r100,21,3,1,l2i_tlb_refill:u,5273.26,0.258487,13863,258
156,combo_024_s3,canonical,itlb_f128_l1_r100+mix_b128_ld4_lin_p128_np4_r100+mix_b64_ld14_pstr_p524288_np1_sp17_r100,21,1,1,l2i_tlb_refill:u,6493.69,0.253266,13583,206
157,combo_024_s3,shuffle_mixslot0_mix_s8192_l4_lin_p128_np4_r100_itlb_f128_rand_p128_np1_l1_r100_mixslot1_mix_s4096_l14_pstr17_p524288_np1_sp17_r100,mix_b128_ld4_lin_p128_np4_r100+itlb_f128_l1_r100+mix_b64_ld14_pstr_p524288_np1_sp17_r100,21,2,1,l2i_tlb_refill:u,6571.84,0.256268,13744,206
163,combo_025_s3,canonical,hot_b128_bp3_r100+mix_b128_ld14_lstr_p128_np4_sl5_r100+mix_b128_ld14_lin_p512_np1_r100,16,3,3,l2i_cache:u,254.83,0.163030,10620,2993
164,combo_025_s3,shuffle_mixslot6_mix_s8192_l14_lin_p512_np1_r100_hot_s8192_lin_p1_np1_l2_r100_mixslot2_mix_s8192_l14_lstr5_p128_np4_sl5_r100,mix_b128_ld14_lin_p512_np1_r100+hot_b128_bp3_r100+mix_b128_ld14_lstr_p128_np4_sl5_r100,16,3,3,l2i_cache:u,258.77,0.164841,10738,2993
170,combo_026_s3,canonical,fetch_b128_d1_bp0_s16_r100+itlb_f64_l1_r100+mix_b64_ld14_lin_p512_np4_r100,20,2,2,l2i_cache_refill:u,653.02,0.277488,16461,2186
171,combo_026_s3,shuffle_itlb_f64_lin_p1_np1_l1_r100_mixslot2_mix_s4096_l14_lin_p512_np4_r100_fetch_b128_rand_p128_np1_l2_r100,itlb_f64_l1_r100+mix_b64_ld14_lin_p512_np4_r100+fetch_b128_d1_bp0_s16_r100,20,4,2,l2i_cache_refill:u,710.93,0.298829,17727,2186
184,combo_028_s3,canonical,mix_b64_ld4_lstr_p524288_np4_sl5_r100+mix_b128_ld4_rand_p128_np4_r100+mix_b128_ld1_lstr_p524288_np4_sl5_r100,17,4,2,l2i_cache:u,132.61,0.116568,6099,2622
185,combo_028_s3,shuffle_mixslot5_mix_s8192_l1_lstr5_p524288_np4_sl5_r100_mixslot4_mix_s8192_l4_rand_p128_np4_r100_mixslot2_mix_s4096_l4_lstr5_p524288_np4_sl5_r100,mix_b128_ld1_lstr_p524288_np4_sl5_r100+mix_b128_ld4_rand_p128_np4_r100+mix_b64_ld4_lstr_p524288_np4_sl5_r100,17,2,2,l2i_cache:u,120.94,0.110719,5793,2622
191,combo_029_s3,canonical,fetch_b64_d1_bp0_s16_r100+itlb_f128_l1_r100+mix_b128_ld14_pstr_p524288_np1_sp17_r100,22,1,1,l2i_tlb_refill:u,6038.10,0.224489,14179,231
192,combo_029_s3,shuffle_itlb_f128_rand_p128_np4_l2_r100_fetch_b64_lin_p1_np4_l2_r100_mixslot0_mix_s8192_l14_pstr17_p524288_np1_sp17_r100,itlb_f128_l1_r100+fetch_b64_d1_bp0_s16_r100+mix_b128_ld14_pstr_p524288_np1_sp17_r100,22,1,1,l2i_tlb_refill:u,6307.36,0.234337,14801,231
198,combo_030_s3,canonical,itlb_f128_l1_r100+mix_b64_ld7_lstr_p512_np4_sl5_r100+mix_b128_ld4_lin_p128_np4_r100,19,3,1,ll_cache_miss:u,193.18,1.646175,90394,30832
199,combo_030_s3,shuffle_mixslot4_mix_s8192_l4_lin_p128_np4_r100_mixslot1_mix_s4096_l7_lstr5_p512_np4_sl5_r100_itlb_f128_lin_p128_np1_l2_r100,mix_b128_ld4_lin_p128_np4_r100+mix_b64_ld7_lstr_p512_np4_sl5_r100+itlb_f128_l1_r100,19,2,1,ll_cache_miss:u,713.08,4.565344,250690,30832
205,combo_031_s3,canonical,fetch_b64_d1_bp0_s16_r100+hot_b128_bp3_r100+mix_b64_ld7_pstr_p512_np4_sp17_r100,15,1,1,ll_cache_miss:u,155.46,0.948547,49582,19409
206,combo_031_s3,shuffle_mixslot4_mix_s4096_l7_pstr17_p512_np4_sp17_r100_hot_s8192_rand_p128_np4_l2_r100_fetch_b64_lin_p1_np4_l1_r100,mix_b64_ld7_pstr_p512_np4_sp17_r100+hot_b128_bp3_r100+fetch_b64_d1_bp0_s16_r100,15,1,1,ll_cache_miss:u,241.83,1.269257,66346,19409
212,combo_032_s3,canonical,cold_b128_d4_bitrev+hot_b64_bp3_r100+mix_b128_ld4_rand_p524288_np1_r100,19,4,3,l2i_cache_refill:u,225.32,0.157937,9418,2895
213,combo_032_s3,shuffle_main_b128_rand_p128_np1_l2_r100_mixslot5_mix_s8192_l4_rand_p524288_np1_r100_hot_s4096_lin_p128_np1_l2_r100,cold_b128_d4_bitrev+mix_b128_ld4_rand_p524288_np1_r100+hot_b64_bp3_r100,19,5,3,l2i_cache_refill:u,224.04,0.157316,9381,2895
219,combo_033_s3,canonical,mix_b128_ld7_rand_p524288_np4_r100+mix_b128_ld7_rand_p128_np4_r100+mix_b64_ld1_lin_p524288_np4_r100,18,5,3,l2i_cache_refill:u,131.22,0.149060,7799,3373
220,combo_033_s3,shuffle_mixslot6_mix_s4096_l1_lin_p524288_np4_r100_mixslot3_mix_s8192_l7_rand_p524288_np4_r100_mixslot5_mix_s8192_l7_rand_p128_np4_r100,mix_b64_ld1_lin_p524288_np4_r100+mix_b128_ld7_rand_p524288_np4_r100+mix_b128_ld7_rand_p128_np4_r100,18,3,3,l2i_cache_refill:u,138.48,0.153742,8044,3373
227,combo_034_s4,canonical,fetch_b128_d1_bp0_s16_r100+hot_b128_bp3_r100+mix_b128_ld4_lin_p128_np4_r100+mix_b64_ld14_pstr_p512_np4_sp17_r100,17,4,3,ll_cache_miss:u,496.33,2.932177,270704,45395
228,combo_034_s4,shuffle_hot_s8192_lin_p1_np1_l2_r100_mixslot5_mix_s8192_l4_lin_p128_np4_r100_mixslot6_mix_s4096_l14_pstr17_p512_np4_sp17_r100_fetch_b128_lin_p128_np4_l2_r100,hot_b128_bp3_r100+mix_b128_ld4_lin_p128_np4_r100+mix_b64_ld14_pstr_p512_np4_sp17_r100+fetch_b128_d1_bp0_s16_r100,17,4,3,l2i_cache:u,310.89,0.145491,13432,3269
235,combo_035_s4,canonical,cold_b64_d4_bitrev+itlb_f128_l1_r100+mix_b64_ld7_lstr_p524288_np4_sl5_r100+mix_b128_ld2_lstr_p512_np4_sl5_r100,22,2,2,l2i_tlb_refill:u,4905.07,0.201688,13814,276
236,combo_035_s4,shuffle_mixslot6_mix_s8192_l2_lstr5_p512_np4_sl5_r100_mixslot5_mix_s4096_l7_lstr5_p524288_np4_sl5_r100_main_b64_lin_p128_np4_l2_r100_itlb_f128_rand_p1_np1_l2_r100,mix_b128_ld2_lstr_p512_np4_sl5_r100+mix_b64_ld7_lstr_p524288_np4_sl5_r100+cold_b64_d4_bitrev+itlb_f128_l1_r100,22,2,2,l2i_tlb_refill:u,4907.97,0.201805,13822,276
243,combo_036_s4,canonical,cold_b128_d4_bitrev+hot_b128_bp3_r100+mix_b128_ld1_rand_p524288_np1_r100+mix_b64_ld14_pstr_p512_np1_sp17_r100,19,4,3,l2i_cache_refill:u,426.97,0.178425,14360,2725
244,combo_036_s4,shuffle_hot_s8192_lin_p1_np4_l2_r100_mixslot0_mix_s8192_l1_rand_p524288_np1_r100_mixslot4_mix_s4096_l14_pstr17_p512_np1_sp17_r100_main_b128_rand_p1_np4_l1_r100,hot_b128_bp3_r100+mix_b128_ld1_rand_p524288_np1_r100+mix_b64_ld14_pstr_p512_np1_sp17_r100+cold_b128_d4_bitrev,19,4,3,l2i_cache_refill:u,417.43,0.175195,14100,2725
251,combo_037_s4,canonical,cold_b64_d4_bitrev+mix_b128_ld14_lin_p524288_np4_r100+mix_b128_ld14_pstr_p524288_np1_sp17_r100+mix_b64_ld1_pstr_p524288_np1_sp17_r100,19,3,3,l2i_cache_refill:u,383.49,0.465209,30658,6341
252,combo_037_s4,shuffle_mixslot6_mix_s4096_l1_pstr17_p524288_np1_sp17_r100_mixslot1_mix_s8192_l14_lin_p524288_np4_r100_main_b64_lin_p128_np1_l2_r100_mixslot4_mix_s8192_l14_pstr17_p524288_np1_sp17_r100,mix_b64_ld1_pstr_p524288_np1_sp17_r100+mix_b128_ld14_lin_p524288_np4_r100+cold_b64_d4_bitrev+mix_b128_ld14_pstr_p524288_np1_sp17_r100,19,3,3,l2i_cache_refill:u,352.58,0.435467,28698,6341
259,combo_038_s4,canonical,mix_b128_ld1_rand_p128_np4_r100+mix_b64_ld4_lin_p512_np1_r100+mix_b64_ld1_lin_p512_np4_r100+mix_b128_ld2_lin_p128_np4_r100,15,2,2,l2d_tlb_refill:u,8366.58,1.070902,67394,796
260,combo_038_s4,shuffle_mixslot5_mix_s8192_l2_lin_p128_np4_r100_mixslot1_mix_s8192_l1_rand_p128_np4_r100_mixslot4_mix_s4096_l1_lin_p512_np4_r100_mixslot2_mix_s4096_l4_lin_p512_np1_r100,mix_b128_ld2_lin_p128_np4_r100+mix_b128_ld1_rand_p128_np4_r100+mix_b64_ld1_lin_p512_np4_r100+mix_b64_ld4_lin_p512_np1_r100,15,5,2,l2d_tlb_refill:u,8472.99,1.084361,68241,796
267,combo_039_s4,canonical,fetch_b128_d1_bp0_s16_r100+hot_b64_bp3_r100+itlb_f64_l1_r100+mix_b128_ld2_pstr_p524288_np4_sp17_r100,21,3,2,l1i_cache_refill:u,-40.78,11.935144,972378,1642111
268,combo_039_s4,shuffle_hot_s4096_rand_p128_np1_l1_r100_itlb_f64_lin_p128_np1_l2_r100_fetch_b128_rand_p1_np4_l2_r100_mixslot6_mix_s8192_l2_pstr17_p524288_np4_sp17_r100,hot_b64_bp3_r100+itlb_f64_l1_r100+fetch_b128_d1_bp0_s16_r100+mix_b128_ld2_pstr_p524288_np4_sp17_r100,22,4,3,l2i_tlb_refill:u,3938.42,0.100624,8198,203
275,combo_040_s4,canonical,hot_b64_bp3_r100+mix_b128_ld4_lstr_p512_np4_sl5_r100+mix_b64_ld1_rand_p524288_np4_r100+mix_b64_ld4_rand_p128_np1_r100,18,5,4,l2i_cache:u,189.04,0.152235,8122,2810
276,combo_040_s4,shuffle_hot_s4096_rand_p128_np4_l1_r100_mixslot6_mix_s4096_l4_rand_p128_np1_r100_mixslot4_mix_s4096_l1_rand_p524288_np4_r100_mixslot2_mix_s8192_l4_lstr5_p512_np4_sl5_r100,hot_b64_bp3_r100+mix_b64_ld4_rand_p128_np1_r100+mix_b64_ld1_rand_p524288_np4_r100+mix_b128_ld4_lstr_p512_np4_sl5_r100,17,6,3,l2i_cache:u,188.97,0.152197,8120,2810
283,combo_041_s4,canonical,cold_b128_d4_bitrev+hot_b128_bp3_r100+mix_b64_ld2_lin_p524288_np4_r100+mix_b128_ld7_pstr_p524288_np4_sp17_r100,19,3,3,l2i_cache_refill:u,386.39,0.242596,19835,4078
284,combo_041_s4,shuffle_mixslot4_mix_s8192_l7_pstr17_p524288_np4_sp17_r100_main_b128_rand_p1_np4_l2_r100_mixslot2_mix_s4096_l2_lin_p524288_np4_r100_hot_s8192_lin_p1_np4_l2_r100,mix_b128_ld7_pstr_p524288_np4_sp17_r100+cold_b128_d4_bitrev+mix_b64_ld2_lin_p524288_np4_r100+hot_b128_bp3_r100,19,3,3,l2i_cache_refill:u,383.50,0.241152,19717,4078
291,combo_042_s4,canonical,cold_b128_d4_bitrev+mix_b64_ld14_pstr_p128_np1_sp17_r100+mix_b64_ld7_rand_p524288_np4_r100+mix_b64_ld1_lstr_p128_np4_sl5_r100,19,6,3,l2i_cache_refill:u,189.56,0.151137,8872,3064
292,combo_042_s4,shuffle_mixslot1_mix_s4096_l7_rand_p524288_np4_r100_mixslot6_mix_s4096_l1_lstr5_p128_np4_sl5_r100_main_b128_rand_p128_np4_l2_r100_mixslot0_mix_s4096_l14_pstr17_p128_np1_sp17_r100,mix_b64_ld7_rand_p524288_np4_r100+mix_b64_ld1_lstr_p128_np4_sl5_r100+cold_b128_d4_bitrev+mix_b64_ld14_pstr_p128_np1_sp17_r100,19,3,3,l2i_cache_refill:u,195.23,0.154101,9046,3064
299,combo_043_s4,canonical,itlb_f64_l1_r100+mix_b128_ld2_pstr_p512_np1_sp17_r100+mix_b64_ld1_lstr_p128_np4_sl5_r100+mix_b128_ld7_pstr_p128_np4_sp17_r100,20,4,3,l2d_tlb_refill:u,2862.71,0.251078,15969,539
300,combo_043_s4,shuffle_itlb_f64_lin_p128_np4_l1_r100_mixslot6_mix_s8192_l7_pstr17_p128_np4_sp17_r100_mixslot1_mix_s8192_l2_pstr17_p512_np1_sp17_r100_mixslot5_mix_s4096_l1_lstr5_p128_np4_sl5_r100,itlb_f64_l1_r100+mix_b128_ld7_pstr_p128_np4_sp17_r100+mix_b128_ld2_pstr_p512_np1_sp17_r100+mix_b64_ld1_lstr_p128_np4_sl5_r100,20,3,3,l2d_tlb_refill:u,1198.70,0.110060,7000,539
307,combo_044_s4,canonical,cold_b64_d4_bitrev+mix_b128_ld14_rand_p128_np4_r100+mix_b64_ld14_rand_p512_np4_r100+mix_b64_ld1_lin_p128_np1_r100,17,4,3,l2i_cache:u,146.45,0.137600,7571,3072
