suite,case,order_tag,modules,cpu-cycles:u,instructions:u,br_retired:u,br_mis_pred:u,l1i_cache:u,l1i_cache_refill:u,l1i_tlb:u,l1i_tlb_refill:u,l2i_cache:u,l2i_cache_refill:u,l2i_tlb:u,l2i_tlb_refill:u,l1d_cache:u,l1d_cache_refill:u,l1d_tlb:u,l1d_tlb_refill:u,l2d_cache:u,l2d_cache_refill:u,l2d_tlb:u,l2d_tlb_refill:u,ll_cache:u,ll_cache_miss:u,ipc, ,l1i_miss_rate,l1i_tlb_miss_rate,l2i_miss_rate,l2i_tlb_miss_rate,l1d_miss_rate,l1d_tlb_miss_rate,l2d_miss_rate,l2d_tlb_miss_rate,ll_miss_rate,  ,br_retired_mpki,br_mis_pred_mpki,l1i_cache_mpki,l1i_cache_refill_mpki,l1i_tlb_mpki,l1i_tlb_refill_mpki,l2i_cache_mpki,l2i_cache_refill_mpki,l2i_tlb_mpki,l2i_tlb_refill_mpki,l1d_cache_mpki,l1d_cache_refill_mpki,l1d_tlb_mpki,l1d_tlb_refill_mpki,l2d_cache_mpki,l2d_cache_refill_mpki,l2d_tlb_mpki,l2d_tlb_refill_mpki,ll_cache_mpki,ll_cache_miss_mpki
combo_linearity_safe,combo_005_s2,shuffle_itlb_f64_lstrd_p1_np2_l1_r100_sl5_hot_s4096_pstrd_p512_np1_l1_r100_sp3,itlb_f64_l1_r100_lstr_p1_np2_l1_sl5+hot_b64_bp3_r100_pstr_p512_np1_l1_sp3,75433000,22561288,2751603,599,2977664,1434752,2977664,670171,1434752,12351,670237,63,1546665,640129,2308212,666527,3524294,1293009,666753,640,1282159,1780,0.2991,,0.4818,0.2251,0.0086,0.0001,0.4139,0.2888,0.3669,0.0010,0.0014,,121.9613,0.0265,131.9811,63.5935,131.9811,29.7045,63.5935,0.5474,29.7074,0.0028,68.5539,28.3729,102.3085,29.5429,156.2098,57.3110,29.5530,0.0284,56.8300,0.0789
combo_linearity_safe,combo_005_s2,sum,hot_b64_bp3_r100_pstr_p512_np1_l1_sp3+itlb_f64_l1_r100_lstr_p1_np2_l1_sl5,48832457,22572043,2752811,931,2985011,1058504,2985011,660225,1058501,1371,660381,107,1551139,640261,2293873,663737,3575767,1282857,664005,185,1281317,98,0.4622,,0.3546,0.2212,0.0013,0.0002,0.4128,0.2894,0.3588,0.0003,0.0001,,121.9567,0.0412,132.2437,46.8945,132.2437,29.2497,46.8943,0.0607,29.2566,0.0047,68.7195,28.3652,101.6245,29.4053,158.4157,56.8339,29.4171,0.0082,56.7657,0.0043
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combo_linearity_safe,combo_006_s2,single,cold_b128_d4_bitrev_lstr_p128_np4_l4_sl3,157973648,29430988,1991403,290677,7531278,1220,7531278,54,1219,787,97,46,6836578,4136747,11216292,3860063,14915353,4163339,3860249,161,4162267,23075,0.1863,,0.0002,0.0000,0.6456,0.4742,0.6051,0.3441,0.2791,0.0000,0.0055,,67.6635,9.8766,255.8962,0.0415,255.8962,0.0018,0.0414,0.0267,0.0033,0.0016,232.2918,140.5575,381.1048,131.1564,506.7908,141.4611,131.1627,0.0055,141.4246,0.7840
combo_linearity_safe,combo_006_s2,single,hot_b128_bp3_r100_pstr_p128_np4_l2_sp3,86905973,23440988,3941403,455,3009863,810,3009863,43,809,630,156,11,2696842,2437532,5352809,2582316,7869945,2417842,2582669,166,2417053,651,0.2697,,0.0003,0.0000,0.7787,0.0705,0.9038,0.4824,0.3072,0.0001,0.0003,,168.1415,0.0194,128.4017,0.0346,128.4017,0.0018,0.0345,0.0269,0.0067,0.0005,115.0481,103.9859,228.3525,110.1624,335.7344,103.1459,110.1775,0.0071,103.1122,0.0278
combo_linearity_safe,combo_006_s2,canonical,cold_b128_d4_bitrev_lstr_p128_np4_l4_sl3+hot_b128_bp3_r100_pstr_p128_np4_l2_sp3,318443908,52861389,5931612,291036,10554073,3040,10554073,61,3041,1414,109,30,9520687,7035470,16321119,6446537,23508090,7006599,6449292,300,7005025,9554,0.1660,,0.0003,0.0000,0.4650,0.2752,0.7390,0.3950,0.2981,0.0000,0.0014,,112.2107,5.5056,199.6556,0.0575,199.6556,0.0012,0.0575,0.0267,0.0021,0.0006,180.1066,133.0928,308.7531,121.9517,444.7119,132.5466,122.0038,0.0057,132.5169,0.1807
combo_linearity_safe,combo_006_s2,shuffle_hot_s8192_pstrd_p128_np4_l2_r100_sp3_main_b128_lstrd_p128_np4_l4_r100_sl3,hot_b128_bp3_r100_pstr_p128_np4_l2_sp3+cold_b128_d4_bitrev_lstr_p128_np4_l4_sl3,231108094,52861298,5931605,291015,10612984,2733,10612984,62,2733,1352,107,49,9509942,7070135,16255105,6445863,22670867,6294316,6446375,289,6292864,3284,0.2287,,0.0003,0.0000,0.4947,0.4579,0.7434,0.3965,0.2776,0.0000,0.0005,,112.2107,5.5053,200.7704,0.0517,200.7704,0.0012,0.0517,0.0256,0.0020,0.0009,179.9037,133.7488,307.5048,121.9392,428.8746,119.0723,121.9489,0.0055,119.0448,0.0621
combo_linearity_safe,combo_006_s2,sum,cold_b128_d4_bitrev_lstr_p128_np4_l4_sl3+hot_b128_bp3_r100_pstr_p128_np4_l2_sp3,244879621,52871976,5932806,291132,10541141,2030,10541141,97,2028,1417,253,57,9533420,6574279,16569101,6442379,22785298,6581181,6442918,327,6579320,23726,0.2159,,0.0002,0.0000,0.6987,0.2253,0.6896,0.3888,0.2888,0.0001,0.0036,,112.2108,5.5064,199.3710,0.0384,199.3710,0.0018,0.0384,0.0268,0.0048,0.0011,180.3114,124.3434,313.3815,121.8487,430.9523,124.4739,121.8588,0.0062,124.4387,0.4487
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combo_linearity_safe,combo_007_s2,single,cold_b128_d4_bitrev_lin_p512_np1_l2,149859393,26870988,1991403,290729,7143886,1076,7143886,55,1075,795,114,52,4257831,2534689,7019281,2600060,11107332,5302743,2610070,663,5301706,6251,0.1793,,0.0002,0.0000,0.7395,0.4561,0.5953,0.3704,0.4774,0.0003,0.0012,,74.1098,10.8194,265.8587,0.0400,265.8587,0.0020,0.0400,0.0296,0.0042,0.0019,158.4546,94.3281,261.2215,96.7609,413.3578,197.3408,97.1334,0.0247,197.3022,0.2326
combo_linearity_safe,combo_007_s2,single,itlb_f64_l1_r100_lshuf_p1_np2_l4,29551789,13210988,731403,467,1726025,1839372,1726025,670056,1839371,814,670136,99,2695275,144,2697061,64,1569930,1174,85,33,319,41,0.4470,,1.0657,0.3882,0.0004,0.0001,0.0001,0.0000,0.0007,0.3882,0.1285,,55.3632,0.0353,130.6507,139.2305,130.6507,50.7196,139.2304,0.0616,50.7257,0.0075,204.0177,0.0109,204.1529,0.0048,118.8352,0.0889,0.0064,0.0025,0.0241,0.0031
combo_linearity_safe,combo_007_s2,canonical,cold_b128_d4_bitrev_lin_p512_np1_l2+itlb_f64_l1_r100_lshuf_p1_np2_l4,169735662,40071288,2721603,290949,9013477,1086987,9013477,670499,1086987,94102,670624,146,6957979,2547199,9756005,2600259,12086587,5440030,2600292,208,5344230,34332,0.2361,,0.1206,0.0744,0.0866,0.0002,0.3661,0.2665,0.4501,0.0001,0.0064,,67.9190,7.2608,224.9360,27.1263,224.9360,16.7327,27.1263,2.3484,16.7358,0.0036,173.6400,63.5667,243.4662,64.8908,301.6271,135.7588,64.8917,0.0052,133.3681,0.8568
