suite,case,order_tag,modules,cpu-cycles:u,instructions:u,br_retired:u,br_mis_pred:u,l1i_cache:u,l1i_cache_refill:u,l1i_tlb:u,l1i_tlb_refill:u,l2i_cache:u,l2i_cache_refill:u,l2i_tlb:u,l2i_tlb_refill:u,l1d_cache:u,l1d_cache_refill:u,l1d_tlb:u,l1d_tlb_refill:u,l2d_cache:u,l2d_cache_refill:u,l2d_tlb:u,l2d_tlb_refill:u,ll_cache:u,ll_cache_miss:u,ipc, ,l1i_miss_rate,l1i_tlb_miss_rate,l2i_miss_rate,l2i_tlb_miss_rate,l1d_miss_rate,l1d_tlb_miss_rate,l2d_miss_rate,l2d_tlb_miss_rate,ll_miss_rate,  ,br_retired_mpki,br_mis_pred_mpki,l1i_cache_mpki,l1i_cache_refill_mpki,l1i_tlb_mpki,l1i_tlb_refill_mpki,l2i_cache_mpki,l2i_cache_refill_mpki,l2i_tlb_mpki,l2i_tlb_refill_mpki,l1d_cache_mpki,l1d_cache_refill_mpki,l1d_tlb_mpki,l1d_tlb_refill_mpki,l2d_cache_mpki,l2d_cache_refill_mpki,l2d_tlb_mpki,l2d_tlb_refill_mpki,ll_cache_mpki,ll_cache_miss_mpki
combo_linearity,combo_004_s2,single,cold_b5000_d2_bitrev_cold_1m_nstr_n131072_p256_np512_l2_sn32,2129603398,274986730,23414963,5849967,113148354,24803567,113147321,524986,24803142,24703495,526951,221,52972015,8250824,57154628,1585878,149517000,75171587,1598140,462,50466861,4538316,0.1291,,0.2192,0.0046,0.9960,0.0004,0.1558,0.0277,0.5028,0.0003,0.0899,,85.1494,21.2736,411.4684,90.1991,411.4647,1.9091,90.1976,89.8352,1.9163,0.0008,192.6348,30.0044,207.8450,5.7671,543.7244,273.3644,5.8117,0.0017,183.5247,16.5038
combo_linearity,combo_004_s2,single,fetch_b128_d2_bp0_s16_r100_dtlb_64m_pstr_n32768_p16384_np2_l2_sp9,763227606,30390942,2631392,613702,12353009,3429,12353009,108,3429,1552,177,96,5932221,2556488,11342229,2607850,14802391,6502886,2608840,2568012,6379181,5462258,0.0398,,0.0003,0.0000,0.4526,0.5424,0.4309,0.2299,0.4393,0.9844,0.8563,,86.5847,20.1936,406.4701,0.1128,406.4701,0.0036,0.1128,0.0511,0.0058,0.0032,195.1970,84.1201,373.2108,85.8101,487.0659,213.9745,85.8427,84.4993,209.9040,179.7331
combo_linearity,combo_004_s2,canonical,cold_b5000_d2_bitrev_cold_1m_nstr_n131072_p256_np512_l2_sn32+fetch_b128_d2_bp0_s16_r100_dtlb_64m_pstr_n32768_p16384_np2_l2_sp9,8803886393,1205691014,102701531,25736462,473296727,105991304,473296727,2248194,105991251,105630796,2256371,22046,232287323,39423845,252872302,9378787,662867155,332323215,9427163,2606355,226313944,10636647,0.1369,,0.2239,0.0048,0.9966,0.0098,0.1697,0.0371,0.5013,0.2765,0.0470,,85.1806,21.3458,392.5523,87.9092,392.5523,1.8647,87.9091,87.6102,1.8714,0.0183,192.6591,32.6981,209.7323,7.7788,549.7819,275.6288,7.8189,2.1617,187.7048,8.8220
combo_linearity,combo_004_s2,shuffle_fetch_b128_d2_bp0_s16_dtlb_64m_ps_n32768_p16384_np2_l2_r100_sp9_main_b5000_d2_bitrev_cold_1m_ns_n131072_p256_np512_l2_r100_sn32,fetch_b128_d2_bp0_s16_r100_dtlb_64m_pstr_n32768_p16384_np2_l2_sp9+cold_b5000_d2_bitrev_cold_1m_nstr_n131072_p256_np512_l2_sn32,7032028182,1200077514,102223870,25670612,470759816,105576413,470758204,2237591,105575826,105199852,2248780,20536,231265393,39530121,251414437,9364654,654599839,327587338,9420146,2594082,222107071,10097267,0.1707,,0.2243,0.0048,0.9964,0.0091,0.1709,0.0372,0.5004,0.2754,0.0455,,85.1811,21.3908,392.2745,87.9747,392.2732,1.8645,87.9742,87.6609,1.8739,0.0171,192.7087,32.9396,209.4985,7.8034,545.4646,272.9718,7.8496,2.1616,185.0773,8.4138
combo_linearity,combo_004_s2,sum,cold_b5000_d2_bitrev_cold_1m_nstr_n131072_p256_np512_l2_sn32+fetch_b128_d2_bp0_s16_r100_dtlb_64m_pstr_n32768_p16384_np2_l2_sp9,2892831004,305377672,26046355,6463669,125501363,24806996,125500330,525094,24806571,24705047,527128,317,58904236,10807312,68496857,4193728,164319391,81674473,4206980,2568474,56846042,10000574,0.1056,,0.1977,0.0042,0.9959,0.0006,0.1835,0.0612,0.4970,0.6105,0.1759,,85.2923,21.1661,410.9710,81.2338,410.9676,1.7195,81.2324,80.9000,1.7262,0.0010,192.8898,35.3900,224.3021,13.7329,538.0858,267.4540,13.7763,8.4108,186.1500,32.7482
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combo_linearity,combo_005_s2,single,cold_b12000_d1_linear_dtlb_128m_pstr_n262144_p32768_np8_l2_sp257,88526088118,3480312071,360071612,120592245,1907678781,254406617,1907678781,4018923,254406852,254345824,4025713,3807352,872000447,298881735,1762002023,241926521,1729694778,870497421,242842404,241404562,577067894,482766170,0.0393,,0.1334,0.0021,0.9998,0.9458,0.3428,0.1373,0.5033,0.9941,0.8366,,103.4596,34.6498,548.1344,73.0988,548.1344,1.1548,73.0989,73.0813,1.1567,1.0940,250.5524,85.8779,506.2770,69.5129,496.9942,250.1205,69.7760,69.3629,165.8092,138.7135
combo_linearity,combo_005_s2,single,fetch_b128_d8_bp2_s16_r100_cold_2m_nstr_n262144_p512_np512_l2_sn2048,209095956,25110998,4231405,140612,4935151,1224,4935151,68,1223,1212,121,63,3456951,2560881,6111073,2580273,4461490,532772,2582129,1208,530073,267226,0.1201,,0.0002,0.0000,0.9910,0.5207,0.7408,0.4222,0.1194,0.0005,0.5041,,168.5080,5.5996,196.5334,0.0487,196.5334,0.0027,0.0487,0.0483,0.0048,0.0025,137.6668,101.9824,243.3624,102.7547,177.6708,21.2167,102.8286,0.0481,21.1092,10.6418
combo_linearity,combo_005_s2,canonical,cold_b12000_d1_linear_dtlb_128m_pstr_n262144_p32768_np8_l2_sp257+fetch_b128_d8_bp2_s16_r100_cold_2m_nstr_n262144_p512_np512_l2_sn2048,90773266830,3505412237,364301794,120391906,1747074808,254456759,1747074808,4019651,254456705,254425038,4029921,3907023,890831690,278663072,1778509547,244507827,1853938302,919355588,245510544,241302525,630982580,496550085,0.0386,,0.1456,0.0023,0.9999,0.9695,0.3128,0.1375,0.4959,0.9829,0.7869,,103.9255,34.3446,498.3935,72.5897,498.3935,1.1467,72.5897,72.5806,1.1496,1.1146,254.1304,79.4951,507.3610,69.7515,528.8788,262.2675,70.0376,68.8371,180.0024,141.6524
combo_linearity,combo_005_s2,shuffle_fetch_b128_d8_bp2_s16_cold_2m_ns_n262144_p512_np512_l2_r100_sn2048_main_b12000_d1_lin_dtlb_128m_ps_n262144_p32768_np8_l2_r100_sp257,fetch_b128_d8_bp2_s16_r100_cold_2m_nstr_n262144_p512_np512_l2_sn2048+cold_b12000_d1_linear_dtlb_128m_pstr_n262144_p32768_np8_l2_sp257,90012507802,3505412362,364301811,120433606,1740655967,254458992,1740655967,4020063,254458822,254417473,4028808,3815517,220077290,224354,220215027,5461,426987047,315456700,7239,1143,911957,13526,0.0389,,0.1462,0.0023,0.9998,0.9471,0.0010,0.0000,0.7388,0.1579,0.0148,,103.9255,34.3565,496.5624,72.5903,496.5624,1.1468,72.5903,72.5785,1.1493,1.0885,62.7821,0.0640,62.8214,0.0016,121.8079,89.9913,0.0021,0.0003,0.2602,0.0039
combo_linearity,combo_005_s2,sum,cold_b12000_d1_linear_dtlb_128m_pstr_n262144_p32768_np8_l2_sp257+fetch_b128_d8_bp2_s16_r100_cold_2m_nstr_n262144_p512_np512_l2_sn2048,88735184074,3505423069,364303017,120732857,1912613932,254407841,1912613932,4018991,254408075,254347036,4025834,3807415,875457398,301442616,1768113096,244506794,1734156268,871030193,245424533,241405770,577597967,483033396,0.0395,,0.1330,0.0021,0.9998,0.9457,0.3443,0.1383,0.5023,0.9836,0.8363,,103.9255,34.4417,545.6157,72.5755,545.6157,1.1465,72.5756,72.5582,1.1485,1.0861,249.7437,85.9932,504.3936,69.7510,494.7067,248.4808,70.0128,68.8664,164.7727,137.7960
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combo_linearity,combo_006_s2,single,hot_b64_bp4_r100_dtlb_1g_pstr_n1048576_p262144_np4_l1_sp5,212793074,11281007,2661406,482,1511151,947,1511151,49,947,922,112,47,777992,640222,2205604,679815,3253067,1684644,680367,641859,1282901,1211206,0.0530,,0.0006,0.0000,0.9736,0.4196,0.8229,0.3082,0.5179,0.9434,0.9441,,235.9192,0.0427,133.9553,0.0839,133.9553,0.0043,0.0839,0.0817,0.0099,0.0042,68.9648,56.7522,195.5148,60.2619,288.3667,149.3345,60.3108,56.8973,113.7222,107.3668
combo_linearity,combo_006_s2,single,itlb_f4096_l1_r100_dtlb_512m_pstr_n1048576_p131072_np8_l4_sp257,63995018668,932142028,61511607,10243187,255964387,126969315,255964387,41989018,126969272,126606363,41994601,40932446,219435038,167524475,554620056,164062186,1142287070,532270395,164076887,164026819,356860305,335353245,0.0146,,0.4960,0.1640,0.9971,0.9747,0.7634,0.2958,0.4660,0.9997,0.9397,,65.9895,10.9889,274.5981,136.2124,274.5981,45.0457,136.2124,135.8230,45.0517,43.9122,235.4094,179.7199,594.9952,176.0056,1225.4432,571.0186,176.0213,175.9676,382.8390,359.7663
combo_linearity,combo_006_s2,canonical,hot_b64_bp4_r100_dtlb_1g_pstr_n1048576_p262144_np4_l1_sp5+itlb_f4096_l1_r100_dtlb_512m_pstr_n1048576_p131072_np8_l4_sp257,64126958157,943412281,64171799,10248190,260060447,126892670,260060447,41997972,126892658,126467132,42011980,40948920,220011009,168095792,556536555,164742540,1147754538,537210540,164755602,164669611,360433403,340640551,0.0147,,0.4879,0.1615,0.9966,0.9747,0.7640,0.2960,0.4681,0.9995,0.9451,,68.0209,10.8629,275.6594,134.5039,275.6594,44.5171,134.5039,134.0529,44.5319,43.4051,233.2077,178.1785,589.9187,174.6241,1216.5991,569.4335,174.6380,174.5468,382.0529,361.0728
combo_linearity,combo_006_s2,shuffle_itlb_f4096_l1_d4_dtlb_512m_ps_n1048576_p131072_np8_l4_r100_sp257_hot_s4096_bp4_dtlb_1g_ps_n1048576_p262144_np4_l1_r100_sp5,itlb_f4096_l1_r100_dtlb_512m_pstr_n1048576_p131072_np8_l4_sp257+hot_b64_bp4_r100_dtlb_1g_pstr_n1048576_p262144_np4_l1_sp5,64346787575,943412342,64171809,10242747,256492130,126969583,256492130,41997622,126969613,126517935,42009944,40936837,220047327,168340141,556385892,164742168,1150873992,538433080,164756374,164671444,361349486,340494922,0.0147,,0.4950,0.1637,0.9964,0.9745,0.7650,0.2961,0.4678,0.9995,0.9423,,68.0210,10.8571,271.8770,134.5855,271.8770,44.5167,134.5855,134.1067,44.5298,43.3923,233.2462,178.4375,589.7590,174.6237,1219.9056,570.7293,174.6388,174.5487,383.0239,360.9185
