case,module,cpu-cycles:u,instructions:u,br_retired:u,br_mis_pred:u,l1i_cache:u,l1i_cache_refill:u,l1i_tlb:u,l1i_tlb_refill:u,l2i_cache:u,l2i_cache_refill:u,l2i_tlb:u,l2i_tlb_refill:u,l1d_cache:u,l1d_cache_refill:u,l1d_tlb:u,l1d_tlb_refill:u,l2d_cache:u,l2d_cache_refill:u,l2d_tlb:u,l2d_tlb_refill:u,ll_cache:u,ll_cache_miss:u,ipc, ,l1i_miss_rate,l1i_tlb_miss_rate,l2i_miss_rate,l2i_tlb_miss_rate,l1d_miss_rate,l1d_tlb_miss_rate,l2d_miss_rate,l2d_tlb_miss_rate,ll_miss_rate,  ,br_retired_mpki,br_mis_pred_mpki,l1i_cache_mpki,l1i_cache_refill_mpki,l1i_tlb_mpki,l1i_tlb_refill_mpki,l2i_cache_mpki,l2i_cache_refill_mpki,l2i_tlb_mpki,l2i_tlb_refill_mpki,l1d_cache_mpki,l1d_cache_refill_mpki,l1d_tlb_mpki,l1d_tlb_refill_mpki,l2d_cache_mpki,l2d_cache_refill_mpki,l2d_tlb_mpki,l2d_tlb_refill_mpki,ll_cache_mpki,ll_cache_miss_mpki,params_json
mix_b64_ld7_pstr_p128_np4_sp17_r100,mixed_region_loop,110515883,10620952,81392,448,1397754,658,1397754,51,656,594,104,39,4622012,4332963,9193519,4504957,11547831,2515859,4505517,130,2515153,8216,0.0961,,0.0005,0.0000,0.9055,0.3750,0.9375,0.4900,0.2179,0.0000,0.0033,,7.6633,0.0422,131.6035,0.0620,131.6035,0.0048,0.0618,0.0559,0.0098,0.0037,435.1787,407.9637,865.6022,424.1576,1087.2689,236.8770,424.2103,0.0122,236.8105,0.7736,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":7,""lines_per_page"":4,""nodes_per_page"":4,""pages"":128,""region_reps"":100,""size"":4096,""stride_pages"":17}"
mix_b64_ld7_pstr_p512_np1_sp17_r100,mixed_region_loop,196108355,10620952,81392,562,1395240,708,1395240,52,707,605,102,41,4620800,4471999,9178942,4504316,17886444,8993621,4504609,493,8992818,54010,0.0542,,0.0005,0.0000,0.8557,0.4020,0.9678,0.4907,0.5028,0.0001,0.0060,,7.6633,0.0529,131.3668,0.0667,131.3668,0.0049,0.0666,0.0570,0.0096,0.0039,435.0646,421.0544,864.2297,424.0972,1684.0716,846.7811,424.1248,0.0464,846.7055,5.0852,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":7,""lines_per_page"":1,""nodes_per_page"":1,""pages"":512,""region_reps"":100,""size"":4096,""stride_pages"":17}"
mix_b64_ld7_pstr_p512_np4_sp17_r100,mixed_region_loop,217117285,10620962,81394,531,1394338,652,1394338,38,652,572,93,22,4621062,4457602,9179546,4504498,18322737,9215543,4504776,507,9214616,233676,0.0489,,0.0005,0.0000,0.8773,0.2366,0.9646,0.4907,0.5030,0.0001,0.0254,,7.6635,0.0500,131.2817,0.0614,131.2817,0.0036,0.0614,0.0539,0.0088,0.0021,435.0888,419.6985,864.2857,424.1139,1725.1485,867.6750,424.1401,0.0477,867.5877,22.0014,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":7,""lines_per_page"":4,""nodes_per_page"":4,""pages"":512,""region_reps"":100,""size"":4096,""stride_pages"":17}"
mix_b64_ld7_pstr_p524288_np1_sp17_r100,mixed_region_loop,1085999355,10620908,81382,541,1414590,1073,1414590,42,1075,704,94,41,4639564,4470122,4879900,160043,18356375,9815648,160081,24098,9812583,9723019,0.0098,,0.0008,0.0000,0.6549,0.4362,0.9635,0.0328,0.5347,0.1505,0.9909,,7.6624,0.0509,133.1892,0.1010,133.1892,0.0040,0.1012,0.0663,0.0089,0.0039,436.8331,420.8795,459.4617,15.0687,1728.3245,924.1816,15.0723,2.2689,923.8930,915.4602,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":7,""lines_per_page"":1,""nodes_per_page"":1,""pages"":524288,""region_reps"":100,""size"":4096,""stride_pages"":17}"
mix_b64_ld7_pstr_p524288_np4_sp17_r100,mixed_region_loop,1084247040,10620908,81382,585,1412259,1145,1412259,44,1149,865,103,40,4639794,4473850,4878777,160030,18388302,9832065,160062,23888,9829454,9738542,0.0098,,0.0008,0.0000,0.7528,0.3883,0.9642,0.0328,0.5347,0.1492,0.9908,,7.6624,0.0551,132.9697,0.1078,132.9697,0.0041,0.1082,0.0814,0.0097,0.0038,436.8547,421.2305,459.3559,15.0674,1731.3305,925.7273,15.0705,2.2491,925.4815,916.9218,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":7,""lines_per_page"":4,""nodes_per_page"":4,""pages"":524288,""region_reps"":100,""size"":4096,""stride_pages"":17}"
mix_b64_ld7_rand_p128_np1_r100,mixed_region_loop,131433090,10620952,81392,415,1399156,743,1399156,40,745,611,91,16,4623786,4340022,9186746,4506505,11954421,2811709,4506637,21,2811058,5672,0.0808,,0.0005,0.0000,0.8201,0.1758,0.9386,0.4905,0.2352,0.0000,0.0020,,7.6633,0.0391,131.7355,0.0700,131.7355,0.0038,0.0701,0.0575,0.0086,0.0015,435.3457,408.6283,864.9645,424.3033,1125.5508,264.7323,424.3157,0.0020,264.6710,0.5340,"{""data_mode"":""random"",""ldr_count_per_unit"":7,""lines_per_page"":1,""nodes_per_page"":1,""pages"":128,""region_reps"":100,""size"":4096}"
mix_b64_ld7_rand_p128_np4_r100,mixed_region_loop,104641858,10620952,81392,405,1397421,713,1397421,51,716,612,114,14,4626901,4351764,8132595,3447758,11265814,2236438,3448424,22,2235733,11558,0.1015,,0.0005,0.0000,0.8547,0.1228,0.9405,0.4239,0.1985,0.0000,0.0052,,7.6633,0.0381,131.5721,0.0671,131.5721,0.0048,0.0674,0.0576,0.0107,0.0013,435.6390,409.7339,765.7124,324.6185,1060.7160,210.5685,324.6813,0.0021,210.5021,1.0882,"{""data_mode"":""random"",""ldr_count_per_unit"":7,""lines_per_page"":4,""nodes_per_page"":4,""pages"":128,""region_reps"":100,""size"":4096}"
mix_b64_ld7_rand_p512_np1_r100,mixed_region_loop,201353221,10620965,81392,511,1393822,650,1393822,41,650,550,98,17,4621292,4448054,9182813,4504771,18379738,9234662,4505066,126,9233712,227758,0.0527,,0.0005,0.0000,0.8462,0.1735,0.9625,0.4906,0.5024,0.0000,0.0247,,7.6633,0.0481,131.2331,0.0612,131.2331,0.0039,0.0612,0.0518,0.0092,0.0016,435.1104,418.7994,864.5931,424.1395,1730.5149,869.4749,424.1673,0.0119,869.3854,21.4442,"{""data_mode"":""random"",""ldr_count_per_unit"":7,""lines_per_page"":1,""nodes_per_page"":1,""pages"":512,""region_reps"":100,""size"":4096}"
mix_b64_ld7_rand_p512_np4_r100,mixed_region_loop,204958598,10620952,81392,494,1393035,792,1393035,44,793,678,82,19,4620030,4462927,8998342,4317666,18291997,9303108,4318070,75,9302126,330576,0.0518,,0.0006,0.0000,0.8550,0.2317,0.9660,0.4798,0.5086,0.0000,0.0355,,7.6633,0.0465,131.1591,0.0746,131.1591,0.0041,0.0747,0.0638,0.0077,0.0018,434.9921,420.2003,847.2256,406.5234,1722.2559,875.9204,406.5615,0.0071,875.8279,31.1249,"{""data_mode"":""random"",""ldr_count_per_unit"":7,""lines_per_page"":4,""nodes_per_page"":4,""pages"":512,""region_reps"":100,""size"":4096}"
mix_b64_ld7_rand_p524288_np1_r100,mixed_region_loop,1152294963,10620914,81380,504,1450544,1262,1450544,39,1263,777,91,37,4660772,4478864,9201689,4394923,19301228,10327552,4395940,51769,10324110,10225739,0.0092,,0.0009,0.0000,0.6152,0.4066,0.9610,0.4776,0.5351,0.0118,0.9905,,7.6622,0.0475,136.5743,0.1188,136.5743,0.0037,0.1189,0.0732,0.0086,0.0035,438.8297,421.7023,866.3745,413.7989,1817.2850,972.3788,413.8947,4.8743,972.0548,962.7928,"{""data_mode"":""random"",""ldr_count_per_unit"":7,""lines_per_page"":1,""nodes_per_page"":1,""pages"":524288,""region_reps"":100,""size"":4096}"
mix_b64_ld7_rand_p524288_np4_r100,mixed_region_loop,1154733564,10620914,81380,513,1449805,1116,1449805,40,1116,845,98,38,4656628,4486949,9188291,4392484,19278960,10288925,4393088,47637,10283255,10200569,0.0092,,0.0008,0.0000,0.7572,0.3878,0.9636,0.4781,0.5337,0.0108,0.9920,,7.6622,0.0483,136.5047,0.1051,136.5047,0.0038,0.1051,0.0796,0.0092,0.0036,438.4395,422.4635,865.1130,413.5693,1815.1884,968.7420,413.6262,4.4852,968.2081,960.4229,"{""data_mode"":""random"",""ldr_count_per_unit"":7,""lines_per_page"":4,""nodes_per_page"":4,""pages"":524288,""region_reps"":100,""size"":4096}"
mix_b64_ld14_lin_p128_np1_r100,mixed_region_loop,223477123,10620968,81392,571,1390010,733,1390010,39,734,585,89,16,9109383,8613082,18174450,8990388,25891317,7956971,8990673,19,7956263,4443,0.0475,,0.0005,0.0000,0.7970,0.1798,0.9455,0.4947,0.3073,0.0000,0.0006,,7.6633,0.0538,130.8741,0.0690,130.8741,0.0037,0.0691,0.0551,0.0084,0.0015,857.6792,810.9508,1711.1858,846.4754,2437.7549,749.1757,846.5022,0.0018,749.1090,0.4183,"{""data_mode"":""linear"",""ldr_count_per_unit"":14,""lines_per_page"":1,""nodes_per_page"":1,""pages"":128,""region_reps"":100,""size"":4096}"
mix_b64_ld14_lin_p128_np4_r100,mixed_region_loop,165783145,10620958,81390,453,1395661,703,1395661,39,705,588,79,13,9101114,2105285,12886151,2261232,18703824,3602700,2265472,16,3601983,6395,0.0641,,0.0005,0.0000,0.8340,0.1646,0.2313,0.1755,0.1926,0.0000,0.0018,,7.6632,0.0427,131.4063,0.0662,131.4063,0.0037,0.0664,0.0554,0.0074,0.0012,856.9014,198.2199,1213.2758,212.9028,1761.0298,339.2067,213.3020,0.0015,339.1392,0.6021,"{""data_mode"":""linear"",""ldr_count_per_unit"":14,""lines_per_page"":4,""nodes_per_page"":4,""pages"":128,""region_reps"":100,""size"":4096}"
mix_b64_ld14_lin_p512_np1_r100,mixed_region_loop,389206444,10620908,81382,468,1412378,774,1412378,38,776,581,105,15,9120058,8957282,18207933,8999824,35486339,17884893,9001263,200,17884023,18465,0.0273,,0.0005,0.0000,0.7487,0.1429,0.9822,0.4943,0.5040,0.0000,0.0010,,7.6624,0.0441,132.9809,0.0729,132.9809,0.0036,0.0731,0.0547,0.0099,0.0014,858.6891,843.3631,1714.3481,847.3686,3341.1775,1683.9326,847.5041,0.0188,1683.8507,1.7386,"{""data_mode"":""linear"",""ldr_count_per_unit"":14,""lines_per_page"":1,""nodes_per_page"":1,""pages"":512,""region_reps"":100,""size"":4096}"
mix_b64_ld14_lin_p512_np4_r100,mixed_region_loop,234393705,10620962,81394,516,1401440,709,1401440,44,709,616,99,20,9095843,2815311,13203435,2260081,31248292,15138846,2261175,596,15137019,169464,0.0453,,0.0005,0.0000,0.8688,0.2020,0.3095,0.1712,0.4845,0.0003,0.0112,,7.6635,0.0486,131.9504,0.0668,131.9504,0.0041,0.0668,0.0580,0.0093,0.0019,856.4048,265.0712,1243.1487,212.7944,2942.1339,1425.3743,212.8974,0.0561,1425.2023,15.9556,"{""data_mode"":""linear"",""ldr_count_per_unit"":14,""lines_per_page"":4,""nodes_per_page"":4,""pages"":512,""region_reps"":100,""size"":4096}"
mix_b64_ld14_lin_p524288_np1_r100,mixed_region_loop,376019967,10620908,81382,432,1393640,787,1393640,34,787,598,95,32,9109993,1702357,9182364,27519,38076833,15598656,27543,16981,15588303,14211853,0.0282,,0.0006,0.0000,0.7598,0.3368,0.1869,0.0030,0.4097,0.6165,0.9117,,7.6624,0.0407,131.2167,0.0741,131.2167,0.0032,0.0741,0.0563,0.0089,0.0030,857.7414,160.2836,864.5555,2.5910,3585.0827,1468.6744,2.5933,1.5988,1467.6997,1338.1015,"{""data_mode"":""linear"",""ldr_count_per_unit"":14,""lines_per_page"":1,""nodes_per_page"":1,""pages"":524288,""region_reps"":100,""size"":4096}"
mix_b64_ld14_lin_p524288_np4_r100,mixed_region_loop,332007350,10620908,81382,440,1399324,759,1399324,38,758,623,85,37,9108458,1674282,9136709,7254,34098204,12962419,7285,5015,12954047,12236889,0.0320,,0.0005,0.0000,0.8219,0.4353,0.1838,0.0008,0.3801,0.6884,0.9446,,7.6624,0.0414,131.7518,0.0715,131.7518,0.0036,0.0714,0.0587,0.0080,0.0035,857.5969,157.6402,860.2569,0.6830,3210.4792,1220.4624,0.6859,0.4722,1219.6742,1152.1509,"{""data_mode"":""linear"",""ldr_count_per_unit"":14,""lines_per_page"":4,""nodes_per_page"":4,""pages"":524288,""region_reps"":100,""size"":4096}"
mix_b64_ld14_lstr_p128_np4_sl5_r100,mixed_region_loop,226457694,10620962,81394,524,1399694,772,1399694,52,775,640,104,33,9106157,8564031,18179007,8989171,23741634,5711088,8989341,22,5710364,9645,0.0469,,0.0006,0.0000,0.8258,0.3173,0.9405,0.4945,0.2406,0.0000,0.0017,,7.6635,0.0493,131.7860,0.0727,131.7860,0.0049,0.0730,0.0603,0.0098,0.0031,857.3759,806.3329,1711.6159,846.3613,2235.3563,537.7185,846.3773,0.0021,537.6504,0.9081,"{""data_mode"":""line_stride"",""ldr_count_per_unit"":14,""lines_per_page"":4,""nodes_per_page"":4,""pages"":128,""region_reps"":100,""size"":4096,""stride_lines"":5}"
mix_b64_ld14_lstr_p512_np4_sl5_r100,mixed_region_loop,419755125,10620908,81382,504,1412702,795,1412702,41,794,653,105,22,9116461,8968627,18197474,8996910,35485917,17931033,8998176,74,17929064,28795,0.0253,,0.0006,0.0000,0.8224,0.2095,0.9838,0.4944,0.5053,0.0000,0.0016,,7.6624,0.0475,133.0114,0.0749,133.0114,0.0039,0.0748,0.0615,0.0099,0.0021,858.3504,844.4313,1713.3633,847.0942,3341.1378,1688.2768,847.2134,0.0070,1688.0915,2.7112,"{""data_mode"":""line_stride"",""ldr_count_per_unit"":14,""lines_per_page"":4,""nodes_per_page"":4,""pages"":512,""region_reps"":100,""size"":4096,""stride_lines"":5}"
mix_b64_ld14_lstr_p524288_np4_sl5_r100,mixed_region_loop,349993946,10620914,81380,474,1409509,775,1409509,43,778,656,103,40,9110733,1658653,9192789,32342,33209326,12854739,32378,19088,12541684,11836482,0.0303,,0.0005,0.0000,0.8432,0.3883,0.1821,0.0035,0.3871,0.5895,0.9438,,7.6622,0.0446,132.7107,0.0730,132.7107,0.0040,0.0733,0.0618,0.0097,0.0038,857.8106,156.1686,865.5365,3.0451,3126.7861,1210.3232,3.0485,1.7972,1180.8479,1114.4504,"{""data_mode"":""line_stride"",""ldr_count_per_unit"":14,""lines_per_page"":4,""nodes_per_page"":4,""pages"":524288,""region_reps"":100,""size"":4096,""stride_lines"":5}"
mix_b64_ld14_pstr_p128_np1_sp17_r100,mixed_region_loop,218656466,10620968,81392,552,1398030,707,1398030,42,707,588,95,18,9103156,8485485,18182954,8985903,22938325,5001664,8986132,18,5000965,5113,0.0486,,0.0005,0.0000,0.8317,0.1895,0.9321,0.4942,0.2180,0.0000,0.0010,,7.6633,0.0520,131.6292,0.0666,131.6292,0.0040,0.0666,0.0554,0.0089,0.0017,857.0929,798.9371,1711.9865,846.0531,2159.7208,470.9236,846.0747,0.0017,470.8577,0.4814,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":14,""lines_per_page"":1,""nodes_per_page"":1,""pages"":128,""region_reps"":100,""size"":4096,""stride_pages"":17}"
mix_b64_ld14_pstr_p128_np4_sp17_r100,mixed_region_loop,224291905,10620962,81394,523,1389551,813,1389551,48,815,659,103,29,9108057,8513186,18192542,8988529,22990293,5047073,8989083,20,5046163,8804,0.0474,,0.0006,0.0000,0.8086,0.2816,0.9347,0.4941,0.2195,0.0000,0.0017,,7.6635,0.0492,130.8310,0.0765,130.8310,0.0045,0.0767,0.0620,0.0097,0.0027,857.5548,801.5457,1712.8902,846.3008,2164.6149,475.1992,846.3530,0.0019,475.1136,0.8289,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":14,""lines_per_page"":4,""nodes_per_page"":4,""pages"":128,""region_reps"":100,""size"":4096,""stride_pages"":17}"
mix_b64_ld14_pstr_p512_np1_sp17_r100,mixed_region_loop,389304444,10620921,81382,489,1411928,773,1411928,39,775,620,108,21,9119920,8976559,18235845,9009564,35428564,17955332,9011175,155,17953962,15532,0.0273,,0.0005,0.0000,0.8000,0.1944,0.9843,0.4941,0.5068,0.0000,0.0009,,7.6624,0.0460,132.9384,0.0728,132.9384,0.0037,0.0730,0.0584,0.0102,0.0020,858.6751,845.1771,1716.9740,848.2846,3335.7337,1690.5626,848.4363,0.0146,1690.4336,1.4624,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":14,""lines_per_page"":1,""nodes_per_page"":1,""pages"":512,""region_reps"":100,""size"":4096,""stride_pages"":17}"
mix_b64_ld14_pstr_p512_np4_sp17_r100,mixed_region_loop,413842529,10620908,81382,465,1413269,743,1413269,41,744,598,85,20,9119436,8975954,18206531,8999656,35436162,17944165,9000962,77,17942770,28440,0.0257,,0.0005,0.0000,0.8038,0.2353,0.9843,0.4943,0.5064,0.0000,0.0016,,7.6624,0.0438,133.0648,0.0700,133.0648,0.0039,0.0701,0.0563,0.0080,0.0019,858.6305,845.1212,1714.2161,847.3528,3336.4532,1689.5133,847.4758,0.0072,1689.3819,2.6777,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":14,""lines_per_page"":4,""nodes_per_page"":4,""pages"":512,""region_reps"":100,""size"":4096,""stride_pages"":17}"
mix_b64_ld14_pstr_p524288_np1_sp17_r100,mixed_region_loop,2163094550,10620908,81382,561,1459054,1540,1459054,41,1543,818,101,39,9177972,9022932,9670106,316843,34324289,17444123,316875,46241,17438635,16963042,0.0049,,0.0011,0.0000,0.5301,0.3861,0.9831,0.0328,0.5082,0.1459,0.9727,,7.6624,0.0528,137.3756,0.1450,137.3756,0.0039,0.1453,0.0770,0.0095,0.0037,864.1419,849.5443,910.4783,29.8320,3231.7660,1642.4324,29.8350,4.3538,1641.9156,1597.1367,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":14,""lines_per_page"":1,""nodes_per_page"":1,""pages"":524288,""region_reps"":100,""size"":4096,""stride_pages"":17}"
mix_b64_ld14_pstr_p524288_np4_sp17_r100,mixed_region_loop,2161987962,10620914,81380,575,1456657,1531,1456657,37,1533,752,121,36,9155113,9007355,9622158,316624,34236705,17390512,316669,46687,17385153,16940688,0.0049,,0.0011,0.0000,0.4905,0.2975,0.9839,0.0329,0.5079,0.1474,0.9744,,7.6622,0.0541,137.1499,0.1441,137.1499,0.0035,0.1443,0.0708,0.0114,0.0034,861.9892,848.0772,905.9633,29.8114,3223.5178,1637.3838,29.8156,4.3958,1636.8792,1595.0311,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":14,""lines_per_page"":4,""nodes_per_page"":4,""pages"":524288,""region_reps"":100,""size"":4096,""stride_pages"":17}"
mix_b64_ld14_rand_p128_np1_r100,mixed_region_loop,256822631,10620962,81394,586,1390544,680,1390544,38,680,559,88,14,9096485,8640506,18161559,8980636,23642988,5714154,8980717,28,5713303,6039,0.0414,,0.0005,0.0000,0.8221,0.1591,0.9499,0.4945,0.2417,0.0000,0.0011,,7.6635,0.0552,130.9245,0.0640,130.9245,0.0036,0.0640,0.0526,0.0083,0.0013,856.4653,813.5333,1709.9731,845.5577,2226.0684,538.0072,845.5653,0.0026,537.9271,0.5686,"{""data_mode"":""random"",""ldr_count_per_unit"":14,""lines_per_page"":1,""nodes_per_page"":1,""pages"":128,""region_reps"":100,""size"":4096}"
mix_b64_ld14_rand_p128_np4_r100,mixed_region_loop,238951043,10620962,81394,523,1401679,689,1401679,52,691,609,115,17,9108923,8630098,16052853,6867636,23342895,5397111,6869522,14,5396344,8367,0.0444,,0.0005,0.0000,0.8813,0.1478,0.9474,0.4278,0.2312,0.0000,0.0016,,7.6635,0.0492,131.9729,0.0649,131.9729,0.0049,0.0651,0.0573,0.0108,0.0016,857.6363,812.5533,1511.4312,646.6115,2197.8136,508.1565,646.7891,0.0013,508.0843,0.7878,"{""data_mode"":""random"",""ldr_count_per_unit"":14,""lines_per_page"":4,""nodes_per_page"":4,""pages"":128,""region_reps"":100,""size"":4096}"
mix_b64_ld14_rand_p512_np1_r100,mixed_region_loop,409897207,10620908,81382,514,1413438,808,1413438,47,809,600,100,22,9118188,8962838,18202546,8998478,35418457,17816801,8999893,129,17815589,13590,0.0259,,0.0006,0.0000,0.7417,0.2200,0.9830,0.4944,0.5030,0.0000,0.0008,,7.6624,0.0484,133.0807,0.0761,133.0807,0.0044,0.0762,0.0565,0.0094,0.0021,858.5130,843.8862,1713.8409,847.2419,3334.7862,1677.5215,847.3751,0.0121,1677.4073,1.2796,"{""data_mode"":""random"",""ldr_count_per_unit"":14,""lines_per_page"":1,""nodes_per_page"":1,""pages"":512,""region_reps"":100,""size"":4096}"
mix_b64_ld14_rand_p512_np4_r100,mixed_region_loop,406171167,10620922,81381,475,1410248,824,1410248,42,825,643,103,24,9119686,8974122,17806449,8604793,35488267,17926387,8606042,357,17924828,27594,0.0261,,0.0006,0.0000,0.7794,0.2330,0.9840,0.4832,0.5051,0.0000,0.0015,,7.6623,0.0447,132.7802,0.0776,132.7802,0.0040,0.0777,0.0605,0.0097,0.0023,858.6529,844.9475,1676.5446,810.1738,3341.3546,1687.8372,810.2914,0.0336,1687.6904,2.5981,"{""data_mode"":""random"",""ldr_count_per_unit"":14,""lines_per_page"":4,""nodes_per_page"":4,""pages"":512,""region_reps"":100,""size"":4096}"
mix_b64_ld14_rand_p524288_np1_r100,mixed_region_loop,2324897180,10620914,81380,561,1399371,1653,1399371,43,1658,758,93,39,9099285,8959999,17981804,8703269,35579821,18065128,8703574,101233,18060012,17825136,0.0046,,0.0012,0.0000,0.4572,0.4194,0.9847,0.4840,0.5077,0.0116,0.9870,,7.6622,0.0528,131.7562,0.1556,131.7562,0.0040,0.1561,0.0714,0.0088,0.0037,856.7328,843.6184,1693.0562,819.4463,3349.9773,1700.9014,819.4750,9.5315,1700.4198,1678.3053,"{""data_mode"":""random"",""ldr_count_per_unit"":14,""lines_per_page"":1,""nodes_per_page"":1,""pages"":524288,""region_reps"":100,""size"":4096}"
mix_b64_ld14_rand_p524288_np4_r100,mixed_region_loop,2320182961,10620914,81380,494,1398139,1658,1398139,41,1664,1082,105,38,9100587,8960652,17987593,8704815,35582206,18066200,8705142,102134,18056528,17942594,0.0046,,0.0012,0.0000,0.6502,0.3619,0.9846,0.4839,0.5077,0.0117,0.9937,,7.6622,0.0465,131.6402,0.1561,131.6402,0.0039,0.1567,0.1019,0.0099,0.0036,856.8554,843.6799,1693.6012,819.5919,3350.2019,1701.0024,819.6227,9.6163,1700.0917,1689.3644,"{""data_mode"":""random"",""ldr_count_per_unit"":14,""lines_per_page"":4,""nodes_per_page"":4,""pages"":524288,""region_reps"":100,""size"":4096}"
mix_b128_ld1_lin_p128_np1_r100,mixed_region_loop,37335623,20860952,81392,400,2668586,684,2668586,39,689,623,87,14,1415952,1215570,2780146,1300061,3842421,1190190,1300103,21,1189509,1253,0.5587,,0.0003,0.0000,0.9042,0.1609,0.8585,0.4676,0.3098,0.0000,0.0011,,3.9016,0.0192,127.9225,0.0328,127.9225,0.0019,0.0330,0.0299,0.0042,0.0007,67.8757,58.2701,133.2703,62.3203,184.1920,57.0535,62.3223,0.0010,57.0208,0.0601,"{""data_mode"":""linear"",""ldr_count_per_unit"":1,""lines_per_page"":1,""nodes_per_page"":1,""pages"":128,""region_reps"":100,""size"":8192}"
mix_b128_ld1_lin_p128_np4_r100,mixed_region_loop,23366374,20861004,81398,393,2669921,721,2669921,55,725,661,97,17,1416230,476534,1936683,340118,2981602,709722,340153,38,708974,2974,0.8928,,0.0003,0.0000,0.9117,0.1753,0.3365,0.1756,0.2380,0.0001,0.0042,,3.9019,0.0188,127.9862,0.0346,127.9862,0.0026,0.0348,0.0317,0.0046,0.0008,67.8889,22.8433,92.8375,16.3040,142.9271,34.0215,16.3057,0.0018,33.9856,0.1426,"{""data_mode"":""linear"",""ldr_count_per_unit"":1,""lines_per_page"":4,""nodes_per_page"":4,""pages"":128,""region_reps"":100,""size"":8192}"
mix_b128_ld1_lin_p512_np1_r100,mixed_region_loop,55478530,20860958,81390,551,2671663,853,2671663,43,855,674,95,20,1416562,1268984,2776251,1300564,5359503,2674820,1300596,175,2674074,109538,0.3760,,0.0003,0.0000,0.7883,0.2105,0.8958,0.4685,0.4991,0.0001,0.0410,,3.9015,0.0264,128.0700,0.0409,128.0700,0.0021,0.0410,0.0323,0.0046,0.0010,67.9049,60.8306,133.0836,62.3444,256.9155,128.2213,62.3459,0.0084,128.1856,5.2509,"{""data_mode"":""linear"",""ldr_count_per_unit"":1,""lines_per_page"":1,""nodes_per_page"":1,""pages"":512,""region_reps"":100,""size"":8192}"
mix_b128_ld1_lin_p512_np4_r100,mixed_region_loop,38636874,20860952,81392,433,2670715,712,2670715,51,715,638,98,26,1416455,617827,2012691,340148,4617960,2225540,340192,456,2224535,29043,0.5399,,0.0003,0.0000,0.8923,0.2653,0.4362,0.1690,0.4819,0.0013,0.0131,,3.9016,0.0208,128.0246,0.0341,128.0246,0.0024,0.0343,0.0306,0.0047,0.0012,67.8998,29.6164,96.4813,16.3055,221.3686,106.6845,16.3076,0.0219,106.6363,1.3922,"{""data_mode"":""linear"",""ldr_count_per_unit"":1,""lines_per_page"":4,""nodes_per_page"":4,""pages"":512,""region_reps"":100,""size"":8192}"
mix_b128_ld1_lin_p524288_np1_r100,mixed_region_loop,53948761,20860952,81392,430,2672721,703,2672721,38,702,622,92,36,1416973,244698,1433421,3922,5450761,2238661,3950,2782,2236322,2043752,0.3867,,0.0003,0.0000,0.8860,0.3913,0.1727,0.0027,0.4107,0.7043,0.9139,,3.9016,0.0206,128.1208,0.0337,128.1208,0.0018,0.0337,0.0298,0.0044,0.0017,67.9247,11.7300,68.7131,0.1880,261.2901,107.3135,0.1893,0.1334,107.2013,97.9702,"{""data_mode"":""linear"",""ldr_count_per_unit"":1,""lines_per_page"":1,""nodes_per_page"":1,""pages"":524288,""region_reps"":100,""size"":8192}"
mix_b128_ld1_lin_p524288_np4_r100,mixed_region_loop,52859050,20860958,81390,482,2671901,686,2671901,40,689,635,88,33,1416783,265396,1426670,1312,5373013,2075706,1333,1131,2073612,1972457,0.3947,,0.0003,0.0000,0.9216,0.3750,0.1873,0.0009,0.3863,0.8485,0.9512,,3.9015,0.0231,128.0814,0.0329,128.0814,0.0019,0.0330,0.0304,0.0042,0.0016,67.9155,12.7221,68.3895,0.0629,257.5631,99.5020,0.0639,0.0542,99.4016,94.5526,"{""data_mode"":""linear"",""ldr_count_per_unit"":1,""lines_per_page"":4,""nodes_per_page"":4,""pages"":524288,""region_reps"":100,""size"":8192}"
mix_b128_ld1_lstr_p128_np4_sl5_r100,mixed_region_loop,41712421,20860952,81392,406,2671468,703,2671468,47,703,650,94,15,1416685,1214132,2825035,1310139,3885086,1178941,1310260,15,1178243,61022,0.5001,,0.0003,0.0000,0.9246,0.1596,0.8570,0.4638,0.3035,0.0000,0.0518,,3.9016,0.0195,128.0607,0.0337,128.0607,0.0023,0.0337,0.0312,0.0045,0.0007,67.9109,58.2012,135.4222,62.8034,186.2372,56.5142,62.8092,0.0007,56.4808,2.9252,"{""data_mode"":""line_stride"",""ldr_count_per_unit"":1,""lines_per_page"":4,""nodes_per_page"":4,""pages"":128,""region_reps"":100,""size"":8192,""stride_lines"":5}"
