module,case,blocks,block_align,direct_run_len,branch_pairs_per_block,block_slots,region_reps,layout,pos,cpu-cycles:u,instructions:u,br_retired:u,br_mis_pred:u,l1i_cache:u,l1i_cache_refill:u,l1i_tlb:u,l1i_tlb_refill:u,l2i_cache:u,l2i_cache_refill:u,l2i_tlb:u,l2i_tlb_refill:u,ipc,l1i_miss_rate,l1i_tlb_miss_rate,l2i_miss_rate,l2i_tlb_miss_rate,br_retired_mpki,br_mis_pred_mpki,l1i_cache_mpki,l1i_cache_refill_mpki,l1i_tlb_mpki,l1i_tlb_refill_mpki,l2i_cache_mpki,l2i_cache_refill_mpki,l2i_tlb_mpki,l2i_tlb_refill_mpki
fetch_amplifier,fetch_b128_d8_bp2_s4_r1000,128,64,8,2,4,1000,linear,1,440866677,721159976,296042570,6002772,308652865,5481,281130543,566,5480,3858,764,530,1.6358,0.0000,0.0000,0.7040,0.6937,410.5089,8.3238,427.9950,0.0076,389.8310,0.0008,0.0076,0.0053,0.0011,0.0007
fetch_amplifier,fetch_b128_d8_bp0_s8_r1000,128,64,8,0,8,1000,linear,1,440902637,1233166614,168043762,6002863,310707541,6682,281341080,737,6678,3908,978,694,2.7969,0.0000,0.0000,0.5852,0.7096,136.2701,4.8678,251.9591,0.0054,228.1452,0.0006,0.0054,0.0032,0.0008,0.0006
fetch_amplifier,fetch_b128_d8_bp1_s8_r1000,128,64,8,1,8,1000,linear,1,441065335,1233157821,296042185,6002724,310544911,7521,281323023,839,7519,4090,1112,785,2.7959,0.0000,0.0000,0.5440,0.7059,240.0684,4.8678,251.8290,0.0061,228.1322,0.0007,0.0061,0.0033,0.0009,0.0006
fetch_amplifier,fetch_b128_d8_bp2_s8_r1000,128,64,8,2,8,1000,linear,1,440844582,1233157760,424042173,6002693,310572167,6194,281281776,721,6194,3562,994,675,2.7973,0.0000,0.0000,0.5751,0.6791,343.8669,4.8677,251.8511,0.0050,228.0988,0.0006,0.0050,0.0029,0.0008,0.0005
fetch_amplifier,fetch_b128_d8_bp3_s8_r1000,128,64,8,3,8,1000,linear,1,440898333,1233160035,552042583,6002816,310610598,5529,281292248,560,5463,3777,797,514,2.7969,0.0000,0.0000,0.6914,0.6449,447.6650,4.8678,251.8818,0.0045,228.1068,0.0005,0.0044,0.0031,0.0006,0.0004
fetch_amplifier,fetch_b128_d8_bp0_s16_r1000,128,64,8,0,16,1000,linear,1,454086915,2257162186,168042967,6002834,254070883,5918,244994513,801,5916,3779,1070,767,4.9708,0.0000,0.0000,0.6388,0.7168,74.4488,2.6595,112.5621,0.0026,108.5409,0.0004,0.0026,0.0017,0.0005,0.0003
fetch_amplifier,fetch_b128_d8_bp1_s16_r1000,128,64,8,1,16,1000,linear,1,453895760,2257157758,296042173,6002774,254147415,6530,245033636,677,6523,3648,938,642,4.9729,0.0000,0.0000,0.5593,0.6844,131.1571,2.6594,112.5962,0.0029,108.5585,0.0003,0.0029,0.0016,0.0004,0.0003
fetch_amplifier,fetch_b128_d8_bp2_s16_r1000,128,64,8,2,16,1000,linear,1,453907323,2257155553,424041776,6002687,254061032,7748,245116905,639,7744,3821,956,592,4.9727,0.0000,0.0000,0.4934,0.6192,187.8656,2.6594,112.5581,0.0034,108.5955,0.0003,0.0034,0.0017,0.0004,0.0003
fetch_amplifier,fetch_b128_d8_bp4_s16_r1000,128,64,8,4,16,1000,linear,1,454077028,2257157758,680042173,6002740,254311562,7680,245276032,902,7676,3867,1197,859,4.9709,0.0000,0.0000,0.5038,0.7176,301.2825,2.6594,112.6689,0.0034,108.6659,0.0004,0.0034,0.0017,0.0005,0.0004
fetch_amplifier,fetch_b128_d8_bp6_s16_r1000,128,64,8,6,16,1000,linear,1,486247034,2257159974,936042570,6002811,253149833,5322,249469644,762,5319,3927,1061,725,4.6420,0.0000,0.0000,0.7383,0.6833,414.6993,2.6595,112.1541,0.0024,110.5237,0.0003,0.0024,0.0017,0.0005,0.0003
