module,case,blocks,block_align,direct_run_len,region_reps,layout,pos,cpu-cycles:u,instructions:u,br_retired:u,br_mis_pred:u,l1i_cache:u,l1i_cache_refill:u,l1i_tlb:u,l1i_tlb_refill:u,l2i_cache:u,l2i_cache_refill:u,l2i_tlb:u,l2i_tlb_refill:u,ipc,l1i_miss_rate,l1i_tlb_miss_rate,l2i_miss_rate,l2i_tlb_miss_rate,br_retired_mpki,br_mis_pred_mpki,l1i_cache_mpki,l1i_cache_refill_mpki,l1i_tlb_mpki,l1i_tlb_refill_mpki,l2i_cache_mpki,l2i_cache_refill_mpki,l2i_tlb_mpki,l2i_tlb_refill_mpki
cold_block_sequence,cold_b12000_d1_bitrev,12000,64,1,1,in_page_shuffle,1,514073270,336216424,36049391,11976717,293421027,12643578,207679630,260515,12620812,4348618,271925,14467,0.6540,0.0431,0.0013,0.3446,0.0532,107.2208,35.6220,872.7147,37.6055,617.6963,0.7748,37.5378,12.9340,0.8088,0.0430
cold_block_sequence,cold_b12000_d2_linear,12000,64,2,1,linear,1,281900579,264225276,24050980,5982185,162907241,12059807,129286862,186433,11956654,2498855,380300,2166,0.9373,0.0740,0.0014,0.2090,0.0057,91.0245,22.6405,616.5468,45.6421,489.3054,0.7056,45.2517,9.4573,1.4393,0.0082
cold_block_sequence,cold_b12000_d2_bitrev,12000,64,2,1,in_page_shuffle,1,318294983,264216424,24049391,5966028,185062945,12801760,146664287,264621,12777582,2551739,297314,6913,0.8301,0.0692,0.0018,0.1997,0.0233,91.0216,22.5801,700.4218,48.4518,555.0915,1.0015,48.3603,9.6578,1.1253,0.0262
cold_block_sequence,cold_b12000_d4_linear,12000,64,4,1,linear,1,193091778,228220789,18050174,2991888,93598113,12056884,83566570,188316,11956594,2136297,349451,4686,1.1819,0.1288,0.0023,0.1787,0.0134,79.0908,13.1096,410.1209,52.8299,366.1655,0.8251,52.3905,9.3607,1.5312,0.0205
cold_block_sequence,cold_b12000_d4_bitrev,12000,64,4,1,in_page_shuffle,1,223496374,228223193,18050601,2984938,114729375,12687286,100308860,277157,12667042,1875177,334049,7167,1.0211,0.1106,0.0028,0.1480,0.0215,79.0919,13.0790,502.7069,55.5916,439.5209,1.2144,55.5029,8.2164,1.4637,0.0314
cold_block_sequence,cold_b12000_d8_linear,12000,64,8,1,linear,1,137834430,210216363,15049380,1497458,60996062,12035907,56854921,188444,11979596,1401599,491375,2710,1.5251,0.1973,0.0033,0.1170,0.0055,71.5900,7.1234,290.1585,57.2549,270.4591,0.8964,56.9870,6.6674,2.3375,0.0129
cold_block_sequence,cold_b12000_d8_bitrev,12000,64,8,1,in_page_shuffle,1,165426308,210218577,15049777,1493783,82878650,12760886,77752722,188470,12752883,799869,239917,2728,1.2708,0.1540,0.0024,0.0627,0.0114,71.5911,7.1059,394.2499,60.7029,369.8661,0.8965,60.6649,3.8049,1.1413,0.0130
cold_block_sequence,cold_b12000_d16_linear,12000,64,16,1,linear,1,116153127,201218640,13549793,757415,49311687,12026071,48750966,189214,11926570,1697796,349390,3391,1.7324,0.2439,0.0039,0.1424,0.0097,67.3387,3.7641,245.0652,59.7662,242.2786,0.9403,59.2717,8.4376,1.7364,0.0169
cold_block_sequence,cold_b12000_d16_bitrev,12000,64,16,1,in_page_shuffle,1,152599399,201216365,13549380,755875,72426746,12623081,69669958,279853,12601965,1722290,343412,3140,1.3186,0.1743,0.0040,0.1367,0.0091,67.3374,3.7565,359.9446,62.7339,346.2440,1.3908,62.6289,8.5594,1.7067,0.0156
cold_block_sequence,cold_b13000_d1_linear,13000,64,1,1,linear,1,505689835,364218637,39049788,12973448,292580984,13115633,207625627,197410,13001015,4886454,315946,11591,0.7202,0.0448,0.0010,0.3759,0.0367,107.2152,35.6199,803.3114,36.0103,570.0577,0.5420,35.6956,13.4163,0.8675,0.0318
cold_block_sequence,cold_b13000_d1_bitrev,13000,64,1,1,in_page_shuffle,1,557906754,364227487,39051376,13034670,311074253,13877929,220601324,291056,13795416,5653788,323652,14345,0.6528,0.0446,0.0013,0.4098,0.0443,107.2170,35.7872,854.0658,38.1024,605.6691,0.7991,37.8758,15.5227,0.8886,0.0394
cold_block_sequence,cold_b13000_d2_linear,13000,64,2,1,linear,1,306524314,286218638,26049789,6482168,175735333,13063285,139603607,202618,12900168,3520571,398024,10428,0.9338,0.0743,0.0015,0.2729,0.0262,91.0136,22.6476,613.9898,45.6409,487.7516,0.7079,45.0710,12.3003,1.3906,0.0364
cold_block_sequence,cold_b13000_d2_bitrev,13000,64,2,1,in_page_shuffle,1,345198938,286220850,26050184,6476959,198147749,13854040,156475629,334545,13830532,3374895,411557,10878,0.8291,0.0699,0.0021,0.2440,0.0264,91.0143,22.6292,692.2897,48.4033,546.6954,1.1688,48.3212,11.7912,1.4379,0.0380
cold_block_sequence,cold_b13000_d4_linear,13000,64,4,1,linear,1,205938857,247216363,19549379,3241379,101522131,13046532,90852384,203771,12896759,2660865,375711,8969,1.2004,0.1285,0.0022,0.2063,0.0239,79.0780,13.1115,410.6610,52.7737,367.5015,0.8243,52.1679,10.7633,1.5198,0.0363
cold_block_sequence,cold_b13000_d4_bitrev,13000,64,4,1,in_page_shuffle,1,245368909,247220787,19550173,3242181,122827460,13718913,107241900,343972,13697312,2581163,421897,7864,1.0075,0.1117,0.0032,0.1884,0.0186,79.0798,13.1145,496.8331,55.4926,433.7900,1.3914,55.4052,10.4407,1.7066,0.0318
cold_block_sequence,cold_b13000_d8_linear,13000,64,8,1,linear,1,152825041,227716483,16299402,1622094,66344128,13036323,62835671,203926,12870770,2642735,501587,6646,1.4900,0.1965,0.0032,0.2053,0.0132,71.5776,7.1233,291.3453,57.2480,275.9382,0.8955,56.5210,11.6054,2.2027,0.0292
cold_block_sequence,cold_b13000_d8_bitrev,13000,64,8,1,in_page_shuffle,1,196144522,227716365,16299380,1623204,88536103,13824949,82489118,335553,13787282,2653074,401173,7059,1.1610,0.1562,0.0041,0.1924,0.0176,71.5776,7.1282,388.7999,60.7113,362.2450,1.4736,60.5459,11.6508,1.7617,0.0310
cold_block_sequence,cold_b13000_d16_linear,13000,64,16,1,linear,1,128569855,217972368,14675380,821442,54004976,13032151,53312125,204370,12902749,2181411,380524,4041,1.6954,0.2413,0.0038,0.1691,0.0106,67.3268,3.7686,247.7607,59.7881,244.5820,0.9376,59.1944,10.0077,1.7457,0.0185
cold_block_sequence,cold_b13000_d16_bitrev,13000,64,16,1,in_page_shuffle,1,159549195,217979004,14676571,824200,74111104,13694283,72002159,340322,13674507,1554470,423242,7533,1.3662,0.1848,0.0047,0.1137,0.0178,67.3302,3.7811,339.9919,62.8239,330.3169,1.5613,62.7331,7.1313,1.9417,0.0346
cold_block_sequence,cold_b14000_d1_linear,14000,64,1,1,linear,1,541302600,392223061,42050582,13974107,310551946,14112955,220559815,217429,13952684,6455371,360764,16068,0.7246,0.0454,0.0010,0.4627,0.0445,107.2109,35.6280,791.7738,35.9820,562.3326,0.5544,35.5733,16.4584,0.9198,0.0410
cold_block_sequence,cold_b14000_d1_bitrev,14000,64,1,1,in_page_shuffle,1,588200621,392220850,42050185,13972476,325743464,15056731,231414724,325522,14946370,6680338,343860,16589,0.6668,0.0462,0.0014,0.4470,0.0482,107.2105,35.6240,830.5103,38.3884,590.0113,0.8299,38.1070,17.0321,0.8767,0.0423
